_posError:0.00484062	_velError:-0.00855413	mass:5.63418	_posBody:0.315159	_velBody:0.00855413
_posError:0.00477863	_velError:-0.00837833	mass:5.63828	_posBody:0.315221	_velBody:0.00837833
_posError:0.00471836	_velError:-0.00820537	mass:5.64233	_posBody:0.315282	_velBody:0.00820537
_posError:0.00465755	_velError:-0.00802371	mass:5.64632	_posBody:0.315342	_velBody:0.00802371
_posError:0.00459735	_velError:-0.00783994	mass:5.65027	_posBody:0.315403	_velBody:0.00783994
_posError:0.00453774	_velError:-0.00765209	mass:5.65417	_posBody:0.315462	_velBody:0.00765209
_posError:0.00448252	_velError:-0.00747888	mass:5.65804	_posBody:0.315517	_velBody:0.00747888
_posError:0.00443128	_velError:-0.00733075	mass:5.66188	_posBody:0.315569	_velBody:0.00733075
_posError:0.00437891	_velError:-0.00717608	mass:5.66567	_posBody:0.315621	_velBody:0.00717608
_posError:0.0043264	_velError:-0.00701394	mass:5.66941	_posBody:0.315674	_velBody:0.00701394
_posError:0.00427469	_velError:-0.00685123	mass:5.67311	_posBody:0.315725	_velBody:0.00685123
_posError:0.00422556	_velError:-0.00669222	mass:5.67678	_posBody:0.315774	_velBody:0.00669222
_posError:0.00417933	_velError:-0.00655058	mass:5.68042	_posBody:0.315821	_velBody:0.00655058
_posError:0.00413334	_velError:-0.00641403	mass:5.68403	_posBody:0.315867	_velBody:0.00641403
_posError:0.00408719	_velError:-0.00627329	mass:5.68759	_posBody:0.315913	_velBody:0.00627329
_posError:0.00404101	_velError:-0.00612794	mass:5.69111	_posBody:0.315959	_velBody:0.00612794
_posError:0.00399778	_velError:-0.00599508	mass:5.6946	_posBody:0.316002	_velBody:0.00599508
_posError:0.00395497	_velError:-0.00586887	mass:5.69806	_posBody:0.316045	_velBody:0.00586887
_posError:0.0039129	_velError:-0.00575204	mass:5.70148	_posBody:0.316087	_velBody:0.00575204
_posError:0.00387029	_velError:-0.00562371	mass:5.70487	_posBody:0.31613	_velBody:0.00562371
_posError:0.00382942	_velError:-0.00549973	mass:5.70823	_posBody:0.316171	_velBody:0.00549973
